,artist,name,source,result_sonnet,result_haiku
0,Addison Rae,Headphones On,crack,a vessel for her own fantasy – and her listeners' too,"sounds like a lost late-90s radio hit, echoing Janet Jackson and Madonna deep cuts"
1,Addison Rae,Headphones On,guardian,"a perfect closed loop to get lost in, an absent-minded Möbius strip of glassy chillout",a perfect closed loop to get lost in ... a perfectly Britney-like sugary-sad vocal that goes to the kind of emotional truths she was denied
2,Addison Rae,Headphones On,nme,pop's brightest new star gives us plenty of reason to tune in,capturing both the collective yearning for hedonism in pop music in 2025 and the carefree mantra of her debut album
3,Addison Rae,Headphones On,paste,"its smoky, trip-hop bounce brilliantly backing Rae's meditation on the healing power of music","smoky, trip-hop bounce brilliantly backing Rae's meditation on the healing power of music"
4,Addison Rae,Headphones On,pitchfork,"four minutes of dreamy, breathy, downtempo heaven that seems designed to play on repeat","four minutes of dreamy, breathy, downtempo heaven"
5,Addison Rae,Headphones On,stereogum,a firsthand account of the little things ... that make the pain more bearable until the hard-earned luxury comes your way,"<<Failed: Immaculately produced with cello flourishes, a wash of gentle rainfall, and an addictive organ synth riff, ""Headphones On"" is a firsthand account of the little things that make the pain more bearable>>"
6,Alex G,Afterlife,billboard,imbues his impressionistic lyrics ... with a world's worth of emotion,"<<Failed: imbues his impressionistic lyrics with a world's worth of emotion, communicating the track's themes of mortality and nostalgia through not just his words, but his vocal delivery too>>"
7,Alex G,Afterlife,crack,a compelling introduction to Giannascoli's second chapter,"Hopeful yet warmly nostalgic, Afterlife is ultimately a compelling introduction to Giannascoli's second chapter"
8,Alex G,Afterlife,guardian,it's as if a two-pint buzz on a summer's day was made into music,as if a two-pint buzz on a summer's day was made into music
9,Alex G,Afterlife,npr,breathing new life into old sounds ... making indie rock feel ephemeral and eternal,"breathing new life into old sounds, and at its best pulls off the trick of making indie rock feel ephemeral and eternal"
10,Alex G,Afterlife,paste,[He] recreates that feeling of being a kid and enjoying the simplicity of life,"""Afterlife"" is an Americana pop track that retains the magic touch present in his previous work."
11,Alex G,Afterlife,pitchfork,he evokes an emotion whose outlines are blurry,he evokes an emotion whose outlines are blurry—is it nostalgia? Yearning? Regret?
12,Alex G,Afterlife,stereogum,"Eerie, elegant, and fleetingly triumphant, ""Afterlife"" captures the restless beauty at the heart of Alex G's music.",the delicate instrument's doubled strings chime like church bells atop guitars and snare hits
13,Amaarae,S.M.O.,fader,"deceptively simple, compulsively danceable","deceptively simple, compulsively danceable ... using her voice as punctuation"
14,Amaarae,S.M.O.,nme,a lithe and loving fusion of myriad inspirations and styles,"a lithe and loving fusion of myriad inspirations and styles: Ghanaian highlife, zouk, gqom and more"
15,Amaarae,S.M.O.,paste,"Amaarae embodies the carnal urges of sex itself, how it can occupy the forefront of the mind with an incendiary urgency","Zouk rhythms and gqom atmospherics serve a nocturnal, clubby backdrop for her shameless eroticism"
16,Amaarae,S.M.O.,pitchfork,"a feat of athleticism, a path towards ecstasy, a prism for all our wants and kinks and fears and needs","a feat of athleticism, a path towards ecstasy, a prism for all our wants and kinks and fears and needs"
17,Amaarae,S.M.O.,quietus,"an absorbing blend of Ghanaian highlife, kpanlogo, zouk, R&B and bass music","an absorbing blend of Ghanaian highlife, kpanlogo, zouk, R&B and bass music ... oozes lust and desire"
18,Amaarae,S.M.O.,stereogum,"makes lyrics about absolute penetrative filth sound as reverent as ""I want to meet the God that made you""","she makes lyrics about absolute penetrative filth sound as reverent as ""I want to meet the God that made you"""
19,Bad Bunny,BAILE INoLVIDABLE,complex,<<Not usable: could_not_shorten>>,"<<Failed: a salsa track ... with a twist ... bursts into lively salsa rhythms, layered with twinkling pianos, congas, timbales, and a brassy trumpet melody>>"
20,Bad Bunny,BAILE INoLVIDABLE,nme,one of his most magnificent torch songs,'Baile Inolvidable' is one of his most magnificent torch songs
21,Bad Bunny,BAILE INoLVIDABLE,npr,The song comes alive in a complex expression of communal pain,The song comes alive in a complex expression of communal pain
22,Bad Bunny,BAILE INoLVIDABLE,rs,soulful storytelling and nostalgic lyrics ... it's the personal P.R. touch that makes it hit that much harder,The soulful storytelling and nostalgic lyrics ... make this song an instant classic
23,Bad Bunny,DtMF,billboard,as spirit-rousing and soul-lifting a singalong as we got in 2025 pop,as spirit-rousing and soul-lifting a singalong as we got in 2025 pop
24,Bad Bunny,DtMF,complex,it feels like a full-on studio party,"feels like a full-on studio party ... beneath all the festive energy, there's a subtle melancholy"
25,Bad Bunny,DtMF,fader,The magic of Bad Bunny's lyrics ... is the multiple interpretations,the magic of Bad Bunny's lyrics ... is the multiple interpretations
26,Bad Bunny,DtMF,paste,"the best singalong chorus in pop music since ""Mr. Brightside""","the slow burn of those quiet synths, which gallop towards a dembow and culminates in the best singalong chorus in pop music since ""Mr. Brightside"""
27,Bad Bunny,DtMF,vulture,"a pour-one-out-for-the-dead-homies classic dressed in stately, bucolic folk",missing someone doesn't have to kill the party
28,Chappell Roan,The Subway,billboard,utterly resplendent ... the writing excels at balancing the moment's melodrama ... with pure comedy,<<Failed: the writing excels at balancing the moment's melodrama with pure comedy>>
29,Chappell Roan,The Subway,consequence,a remarkable glimmer of Roan's cross-genre potential,"a warm, renewing glow ... tracking the sting of a breakup with majestic hues and aching, cards-on-the-table vocals"
30,Chappell Roan,The Subway,crack,a soundtrack for coming out the other side – a moment of pure cathartic release,"Awash with dreampop guitars, dramatic violin and percussion juddering like a train, her soaring vocals mine the moments in early-stage heartbreak"
31,Chappell Roan,The Subway,guardian,a lovelorn Celtic pop epic in thrall to the Cranberries,"a lovelorn Celtic pop epic in thrall to the Cranberries ... reprising those torchbearers' snarling, choral rage to rue the impossibility of shaking off heartbreak's haunting"
32,Chappell Roan,The Subway,nme,[She] doesn't hold anything back,"passionate, gut-wrenching two-minute outro"
33,Chappell Roan,The Subway,pitchfork,[She's] haunted by signs of her ex,"She's haunted by signs of her ex: the scent of her perfume at parties, or the flash of green hair and a beauty mark on a stranger that makes her heart stop."
34,Chappell Roan,The Subway,rs,"the most emotionally devastating song about standing on a subway platform since Radiohead's ""Black Star.""","this delicious heartbreaker ... the most emotionally devastating song about standing on a subway platform since Radiohead's ""Black Star."""
35,Chappell Roan,The Subway,stereogum,"Several minutes of gorgeous duress build to the real payoff: a lovely, anthemic coda","a lovely, anthemic coda ... It's melancholy but somehow at peace, and totally sublime"
36,Dijon,Yamaha,billboard,sparkly piano and sugary vocals ... giving off the vibe of someone skipping down the street fresh after making love to their soulmate,<<Failed: A hug in audio form ... with its sparkly piano and sugary vocals giving off the vibe of someone skipping down the street fresh after making love to their soulmate>>
37,Dijon,Yamaha,npr,a straightforward expression of desire and an ode to desire itself,straightforward expression of desire and an ode to desire itself
38,Dijon,Yamaha,paste,[It] sounds out of time but of the moment,"his voice is not only his instrument but an ecstatic ride ... with cresting, contrasting synth programming, manipulated pitches, choral tangents, and Top 40 piano drama coagulating"
39,Dijon,Yamaha,pitchfork,turn the ordinary indignity of heartbreak ... into something that sounds as big as it feels,turn the ordinary indignity of heartbreak ... into something that sounds as big as it feels
40,Dijon,Yamaha,rs,"drums landing amid unexpected harmonies, like the cadence of popcorn kernels","metaphysical concerns become melodic instructions ... drums landing amid unexpected harmonies, like the cadence of popcorn kernels"
41,Dijon,Yamaha,stereogum,a collision of memories ... tightly woven soundbits that create a sonic terrain both orgasmic and sentimental,an absurdist euphoric collage ... tightly woven soundbits that create a sonic terrain both orgasmic and sentimental
42,Drake,NOKIA,billboard,a vintage performance ... as he offers breezy one-liners ... and a slithery beat-switch,"a vintage performance by The Boy, as he offers breezy one-liners ... and a slithery beat-switch that feeds the feet of dance-happy listeners"
43,Drake,NOKIA,complex,the government mandated Drake dance track hits,"Reminiscent of '80s freestyle and Miami bass, Drake leans into the cheesiness"
44,Drake,NOKIA,nyt_caramanica,<<Not usable: could_not_shorten>>,<<Failed: music that summons a warm-weather listening clime ... [and] he remains capable of accessing a version of himself that's prettily blithe>>
45,Drake,NOKIA,nyt_zoladz,Drake always seems to manage at least one undisputed bop,"Even in his off years, Drake always seems to manage at least one undisputed bop"
46,Drake,NOKIA,rs,a vibrant funk-infused beat ... lends itself to the lightheartedness of a good function,"a vibrant funk-infused beat, the earworm of a track lends itself to the lightheartedness of a good function"
47,Geese,Taxes,consequence,drawing you in with joy even as it crushes with weighty religious imagery,"lit by tribal percussion, skewed coos, and an explosive mid-point swing"
48,Geese,Taxes,guardian,"so funny for its ludicrous level of hurt, and yet so true to the way love can turn any of us into lost, lashing-out teenagers",Taxes become a metaphor for the stuff we bitterly hold on to but have to give away
49,Geese,Taxes,nme,an inspired aural collage that merges stream-of-consciousness lyrics ... with a musical release that conjures pure euphoria,<<Failed: an inspired aural collage that merges stream-of-consciousness lyrics with a musical release that conjures pure euphoria>>
50,Geese,Taxes,npr,"[The band] rips the sky open, hitting the punchline","The band rips the sky open, hitting the punchline."
51,Geese,Taxes,pitchfork,a reckoning with American violence from the nation's largest and loudest city,"""Taxes"" was a reckoning with American violence from the nation's largest and loudest city"
52,Geese,Taxes,stereogum,"a metaphysical pop epic in just over three minutes, packed with musical epiphanies and philosophical gauntlets",a spine-tingling climax that confirmed the ascendance of a generational band
53,HAIM,Relationships,billboard,exemplifies HAIM's signature mix of early 2000's rock and '90's R&B,exemplifies HAIM's signature mix of early 2000's rock and '90's R&B
54,HAIM,Relationships,consequence,an infectious banger about intimacy,"an infectious banger about intimacy, highlighted by a subtle, indelible chord change in the chorus"
55,HAIM,Relationships,nme,turning messy feelings into summer anthems,turning messy feelings into summer anthems
56,HAIM,Relationships,npr,"[The] song jerks forward and back, questions itself then speeds forward, just like ... a relationship","the song jerks forward and back, questions itself then speeds forward, just like, well, a relationship"
57,HAIM,Relationships,nyt_zoladz,"[It] glides along with unbroken ease, all but demanding to be choreographed as a three-person roller-skate routine","glides along with unbroken ease, all but demanding to be choreographed as a three-person roller-skate routine"
58,HAIM,Relationships,pitchfork,a frustrated loop of hope still bloody from experience,a frustrated loop of hope still bloody from experience ... [the] beat chopping and stuttering as old wounds color new beginnings
59,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI, & KPop Demon Hunters Cast",Golden,billboard,"The songs were gonna have to be very, very, very good",<<Not usable: no_descriptive_content>>
60,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI, & KPop Demon Hunters Cast",Golden,complex,a song that gave us hope,a song that gave us hope
61,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI, & KPop Demon Hunters Cast",Golden,consequence,"the vocal lines on ""Golden"" are the stuff of pop dreams","the vocal lines on ""Golden"" are the stuff of pop dreams"
62,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI, & KPop Demon Hunters Cast",Golden,nme,"a cathartic anthem that slays demons, shatters records, seals the Honmoon and makes history",melodic potency ... becomes a cathartic anthem that slays demons
63,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI, & KPop Demon Hunters Cast",Golden,nyt_zoladz,a pop song is so undeniable that it's destined to be a smash,"[A] pop song is so undeniable that it's destined to be a smash, regardless of whether it's sung by a familiar supergroup or an unknown and fictitious group of computer-animated demon hunters"
64,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI, & KPop Demon Hunters Cast",Golden,rs,"synth-draped ""Golden"" feels made for self-actualization sessions","the synth-draped ""Golden"" feels made for self-actualization sessions ... its spirited chorus getting even more oomph after its bridge takes down the tempo and offers listeners a moment to reflect on, and eventually cast off, darker moments in their past"
65,Kehlani,Folded,billboard,sensual vocals coupled with an equally engaging laid-back track,unpacks their feelings about an on-and-off relationship through sensual vocals coupled with an equally engaging laid-back track
66,Kehlani,Folded,complex,"cozy yet dramatic, built on an orchestral score and a pulsating guitar lick that underscores the song's emotional complexity","cozy yet dramatic, built on an orchestral score and a pulsating guitar lick that underscores the song's emotional complexity"
67,Kehlani,Folded,npr,infectious ... makes you reassess your own love life,her R&B bag is full of music that makes us feel something
68,Kehlani,Folded,nyt_caramanica,revisits that moment with pinpoint precision,revisits that moment with pinpoint precision
69,Kehlani,Folded,pitchfork,"The song drifts like an aching memory, channeling the allure of Faith Evans, the Elysian harmonies of Brandy",layered vocals and dreamy production create a sanctuary where softness can bloom again
70,Kehlani,Folded,rs,a plush offering of heartbroken R&B,a plush offering of heartbroken R&B ... [with] a hypnotic effect
71,Kendrick Lamar & SZA,luther (with sza),billboard,a masterclass in restoring hope for lovestruck dreamers clinging to connection in this new dark world,a masterclass in restoring hope for lovestruck dreamers clinging to connection
72,Kendrick Lamar & SZA,luther (with sza),complex,the duo proves they've fully mastered their dynamic,"<<Failed: Kendrick's semi-monotone delivery contrasts perfectly with SZA's sweeter tone, creating the kind of synergy that earns the track a place on the Mount Rushmore of great rap-and-R&B duets>>"
73,Kendrick Lamar & SZA,luther (with sza),rs,a modern-day Marvin and Tammi ... trading sweet nothings in harmony over a butter-soft Luther Vandross sample,"He and SZA team up like a modern-day Marvin and Tammi on this slow-burn duet, trading sweet nothings in harmony over a butter-soft Luther Vandross sample."
74,Lady Gaga,Abracadabra,billboard,"[A] sleazy, slinky club banger ... that harks back to the willful weirdness of ""Bad Romance,"" while also demonstrating the vocal maturity she's achieved since","sleazy, slinky club banger ... [that] harks back to the willful weirdness of ""Bad Romance,"" while also demonstrating the vocal maturity she's achieved"
75,Lady Gaga,Abracadabra,consequence,"one of Gaga's best-ever dance floor creations, the production seismic, the lyrics sharp and dramatic","the production seismic, the lyrics sharp and dramatic ... exactly what its title suggests: Magic"
76,Lady Gaga,Abracadabra,guardian,two house beats made for a gay club at peak sweatiness,two house beats made for a gay club at peak sweatiness
77,Lady Gaga,Abracadabra,nme,a club-ready blast,"Full of huge synths and an earworm, delightfully nonsensical hook, this career-reigniting banger is a club-ready blast"
78,Lady Gaga,Abracadabra,nyt_zoladz,"[Gaga] prove[s] that ""fan service"" doesn't have to be an insult when it's done right","""fan service"" doesn't have to be an insult when it's done right"
79,Lady Gaga,Abracadabra,pitchfork,"a psychedelically weird acid-techno rager that's so nasty, so potent, that it makes ""Bad Romance"" sound like Kidz Bop","a psychedelically weird acid-techno rager that's so nasty, so potent, that it makes ""Bad Romance"" sound like Kidz Bop"
80,Lady Gaga,Abracadabra,rs,"a perfect Lady Gaga pop song ... that nods to early hits like ""Just Dance"" and ""Bad Romance"" right on the edge of glory while feeling totally of her own brand-new moment",the synthesizers fade in and out like a slow-strobing disco light on a foggy dance floor ... a perfect Lady Gaga pop song
81,Lady Gaga,Abracadabra,stereogum,the absolute best kind of mega-goth spookablast novelty banger,"the dramatic, apocalyptic gibberish dance-pop that brought her to the dance in the first place"
82,Oklou,blade bird,billboard,"elegant, ethereal bedroom pop, with each stately hook, chopped-up vocal and gentle drum tap coalescing into a hypnotic blend","elegant, ethereal bedroom pop ... coalescing into a hypnotic blend"
83,Oklou,blade bird,fader,"A gentle, but unflinching, portrait of love.","renders this bloody, soft story in vivid detail ... via lyrics that are both cosmic and casual"
84,Oklou,blade bird,nme,"equally beautiful and despondent, about the pains of yearning","Glitchy acoustic guitars elevate this song, equally beautiful and despondent, about the pains of yearning"
85,Oklou,blade bird,npr,[A] twisted acoustic lullaby ... [that] lingers long after,A twisted acoustic lullaby ... [with] an allegory for not stifling those we love in a relationship
86,Oklou,blade bird,nyt_zoladz,"a folk song fit for the 21st century, its acoustic arrangement adorned with synth blips and artful modifications","a folk song fit for the 21st century, its acoustic arrangement adorned with synth blips and artful modifications that only make Mayniel's plaintive vocals all the more devastating"
87,Oklou,blade bird,paste,"a fitting send-off ... that takes flight on featherweight drums, fluttering synths, and a flock of overdubbed, processed vocals","takes flight on featherweight drums, fluttering synths, and a flock of overdubbed, processed vocals"
88,Oklou,blade bird,pitchfork,a bruised and blissed-out allegory for avoidant attachment style,"a bruised and blissed-out allegory ... the song takes flight, a swooning peak"
89,Oklou,blade bird,stereogum,"[She] fights the instinct to cage what she loves, remembering the wildness that initially enchanted her",a moving parable about possession's temptation
90,Olivia Dean,Man I Need,billboard,a breakthrough unstuck in time,"<<Failed: [With] soft textures and immediate melodies ... imbued with a forceful yet inviting sense of personality, transcending pop trends to deliver a breakthrough unstuck in time>>"
91,Olivia Dean,Man I Need,complex,"[She] folds jazzy pop, piano warmth, and gospel lifts into a swinging plea for the kind of love she knows she deserves","she folds jazzy pop, piano warmth, and gospel lifts into a swinging plea for the kind of love she knows she deserves"
92,Olivia Dean,Man I Need,consequence,[She delivers] an unexpectedly strict ultimatum with radiant and soulful charm,"demands that her romantic interest stop playing games, delivering an unexpectedly strict ultimatum with radiant and soulful charm"
93,Olivia Dean,Man I Need,guardian,"giddy singing, sweeping this way and that on soft surges of adrenaline","Dean's giddy singing, sweeping this way and that on soft surges of adrenaline, suggests she's loving the chase"
94,Olivia Dean,Man I Need,nme,"so catchy that ... they practically command a shimmy, leg-pop or booty shake","a fizzing synapse fired from brain to body ... practically command a shimmy, leg-pop or booty shake"
95,Olivia Dean,Man I Need,npr,jazzy pop and soulful grooves paired with ... vocals [that] deliver lyrics about not being afraid to ask to be loved,jazzy pop and soulful grooves ... deliver lyrics about not being afraid to ask to be loved
96,Olivia Dean,Man I Need,nyt_zoladz,"Sade-smooth vocals glide across this breakout smash, full of heart, soul and elegance",a song that yearns so sincerely for connection ... sung with a hopeful belief that a good man is still possible to find
97,Olivia Dean,Man I Need,rs,"The record feels as though it's existed for decades, yet it sounds brand new on each listen.",A playful piano melody runs as Dean leads with an alluring sense of glamour and self-assuredness
98,PinkPantheress,Illegal,billboard,"an unabashed artist, fully formed, with a hook that can't be ignored","<<Failed: ""Illegal"" serves as a proper introduction — both to her mixtape Fancy That, and to Pink as a bonafide pop star>>"
99,PinkPantheress,Illegal,complex,"a bold declaration of mastery, proving that her unassuming shyness doesn't diminish her gifts as a producer and artist who is reshaping the future of pop stardom","""Illegal"" is a culmination of her previous style ... proving that her unassuming shyness doesn't diminish her gifts as a producer and artist who is reshaping the future of pop stardom"
100,PinkPantheress,Illegal,consequence,"melodies that dance across Pink's 2-step backing beat and a thick, throbbing sonic atmosphere",The song contains a near-instant dopamine rush ... buoyed by a now-iconic opening sequence
101,PinkPantheress,Illegal,fader,dreamy jungle-pop track,"<<Failed: ""Illegal"" came pretty damn close to being the song of the summer>>"
102,PinkPantheress,Illegal,guardian,a sped-up sample of the floodlit synths from Underworld's Dark & Long ... throbs with all the disorientation and delight of a THC-addled brain,a sped-up sample of the floodlit synths ... that throbs with all the disorientation and delight of a THC-addled brain struggling to get a hold of itself
103,PinkPantheress,Illegal,nme,"distilling '90s rave energy and smouldering dance-pop lyricism into a young, fun banger","[It] hits like a storm gale, distilling '90s rave energy and smouldering dance-pop lyricism into a young, fun banger"
104,PinkPantheress,Illegal,pitchfork,a one-two hit that'll knock you right on your ass,"""Illegal"" is UK garage maximalism at its most indulgent"
105,PinkPantheress,Illegal,quietus,impossible not to be swept up by the intoxicating sugar rush of 'Illegal',"impossible not to be swept up by the intoxicating sugar rush of 'Illegal', with its dazzling Underworld-sampling synth melodies and shuffling 2-step UK garage rhythms"
106,PinkPantheress,Illegal,stereogum,"a giddy, stoned flirtation ... hinting at a nervous longing just beneath the surface","a giddy, stoned flirtation rendered in dance-pop form ... hinting at a nervous longing just beneath the surface"
107,RAYE,WHERE IS MY HUSBAND!,billboard,RAYE can fashion a banger (and a hit!) out of virtually any sound,blending the universal quest for eternal love with big band jazz and Motown aesthetics
108,RAYE,WHERE IS MY HUSBAND!,guardian,screwball caper against a backdrop of Ronson-esque horns,delivered so knowingly by Raye as she gabbles her way through this screwball caper against a backdrop of Ronson-esque horns
109,RAYE,WHERE IS MY HUSBAND!,nme,theatrical and deliriously addictive,"jazzy, soul-pop bop ... theatrical and deliriously addictive"
110,RAYE,WHERE IS MY HUSBAND!,npr,combines 20th century girl group elegance with early aughts Amy Winehouse realness,combines 20th century girl group elegance with early aughts Amy Winehouse realness to empathize with the modern yearner jaded by dating and waiting for their person
111,RAYE,WHERE IS MY HUSBAND!,rs,distills that feeling into just over three minutes,distills that feeling into just over three minutes ... She skillfully disassembles the traditional pop song structure with gleeful abandon
112,"ROSALÍA, Björk, & Yves Tumor",Berghain,billboard,a tour de force that feels vastly bigger than its slim three minutes,"scales her ambition to nothing less than operatic majesty, achieving this aim with a tour de force that feels vastly bigger than its slim three minutes"
113,"ROSALÍA, Björk, & Yves Tumor",Berghain,crack,listens like the baroque drama of a symphonic odyssey,"<<Failed: sits somewhere between Vivaldi's string arpeggiations, an operatic aria and avant-garde pop>>"
114,"ROSALÍA, Björk, & Yves Tumor",Berghain,fader,"equal parts frenetic and raucous, stopping just short of being overwhelming",belts in anguished German ... unleashes the obsessive distress that dominates her inner dialogue
115,"ROSALÍA, Björk, & Yves Tumor",Berghain,guardian,"The towering, gothic Berghain subsumes the listener in the same way the doomed relationship Rosalía sings about is swallowing her",smashing all this grandeur together ... leaving us in turn trembling with awe at her one-of-one magnitude
116,"ROSALÍA, Björk, & Yves Tumor",Berghain,quietus,"An intricate, rapturous triumph ... redraws the boundaries of what's possible in modern pop music","An intricate, rapturous triumph of a comeback, it's one that redraws the boundaries of what's possible in modern pop music"
117,"ROSALÍA, Björk, & Yves Tumor",Berghain,rs,"feels like a surge of adrenaline — all urgent, frenzied strings and soaring operatic vocals","feels like a surge of adrenaline — all urgent, frenzied strings and soaring operatic vocals, signaling a dark grandeur"
118,Sabrina Carpenter,Manchild,billboard,[Carpenter] puts her winking chops to excellent use,tongue-in-cheek songwriting ... country-tinged ... upbeat and playful
119,Sabrina Carpenter,Manchild,complex,clowning men who are unfortunately alluring and undeniably embarrassing,the kind of pop sparkle that almost hides how brutal the roast actually is
120,Sabrina Carpenter,Manchild,consequence,"a campy, precision-guided takedown of men who can't quite keep up","a campy, precision-guided takedown of men who can't quite keep up"
121,Sabrina Carpenter,Manchild,npr,"a perfectly balanced symphony of light-as-air synths, barroom fiddle and riffs worthy of a broken cassette deck","the bawdiest, funniest, most successful of 2024's pop breakthroughs proves that her act was no fluke"
122,Sabrina Carpenter,Manchild,nyt_zoladz,a sugary No. 1 smash ... [that's] an unsparing roast of a Neanderthal-esque ex,<<Failed: a sugary No. 1 smash ... that admits a certain culpability>>
123,Sabrina Carpenter,Manchild,paste,her signature sarcastic delivery and melody reminiscent of Dolly Parton ... wins you over,<<Failed: [Her] signature sarcastic delivery and melody reminiscent of Dolly Parton wins you over>>
124,Sabrina Carpenter,Manchild,pitchfork,feeling so much for someone who's capable of giving so little,"writes with characteristic wit about this experience, of knowing a man is emotionally stunted but still caring enough to sing a whole song about him"
125,Sabrina Carpenter,Manchild,rs,the joyous ABBA rodeo jam that ... proved the success of Short n' Sweet wasn't just a one-off,"the joyous ABBA rodeo jam that is ""Manchild,"""
126,Smerz,You got time and I got money,guardian,"woozy, ardently romantic ballad about how transformative it feels for true love to exceed all expectations","woozy, ardently romantic ballad about how transformative it feels for true love to exceed all expectations"
127,Smerz,You got time and I got money,npr,sleek and nonchalant vocals conjure that intoxicating feeling of being head over heels,lush and lazy groove ... [that evokes] that intoxicating feeling of being head over heels
128,Smerz,You got time and I got money,paste,swooning over love's simplest graces ... adoration and lust tastefully brush against each other,"gushing over shoes, T-shirts, lazy quality time, and restaurant choices with an undeniable starriness"
129,Smerz,You got time and I got money,pitchfork,Her plainspoken observations of a lover trigger profound sense memories,it sounds like the Norwegian duo of Catharina Stoltenberg and Henriette Motzfeldt is slipping into a plush eiderdown
130,Smerz,You got time and I got money,rs,a sing-speaky declaration of unadulterated lust over a Dean Blunt-esque groove,a sing-speaky declaration of unadulterated lust over a Dean Blunt-esque groove
131,Tate McRae,Sports car,billboard,"a slick, combustible banger that translates to both top 40 radio and a choreo-heavy arena show","a slick, combustible banger that translates to both top 40 radio and a choreo-heavy arena show"
132,Tate McRae,Sports car,nyt_caramanica,all thump and sigh and slither and head tilt and exhale,excelled on this return to the old-fashioned burlesque pop ... all thump and sigh and slither and head tilt and exhale
133,Tate McRae,Sports car,nyt_zoladz,a thoroughly tactile hit that sounds like slick bare skin on a leather seat,"effectively mines the sweatiest early-aughts pop, resulting in a thoroughly tactile hit"
134,Tate McRae,Sports car,pitchfork,"her minimalist sex song of tire squeaks, engine revs, and ASMR-whispered findom demands","minimalist sex song of tire squeaks, engine revs, and ASMR-whispered findom demands"
135,Tate McRae,Sports car,rs,"[It] echoes Y2K pop like Nelly Furtado and Britney Spears, but with a fresh update ... only McRae is capable of","echoes Y2K pop like Nelly Furtado and Britney Spears, but with a fresh update"
136,Tate McRae,Sports car,stereogum,a drag-show road-sex whisper-giggle that sounds like 2005 and 2045 at the same damn time,a drag-show road-sex whisper-giggle that sounds like 2005 and 2045 at the same damn time
137,Wednesday,Townies,consequence,You bleed alongside Hartzman and Wednesday with each listen.,offers up one of the best examples of their countrygaze stylings
138,Wednesday,Townies,nme,excavating the pains of the past helps with closure,excavating the pains of the past helps with closure
139,Wednesday,Townies,npr,"catchy, country-influenced storytelling and the rock-star ability to stretch the word ""died"" into nine syllables","<<Failed: captures that sentiment with catchy, country-influenced storytelling and the rock-star ability to stretch the word ""died"" into nine syllables>>"
140,Wednesday,Townies,paste,a mature and masterful missive from one of our greatest working songwriters,"A decade removed from the rumor mill, Hartzman revisits high school experiences with a wizened eye, capable of locating her anger for complicit parties while holding space for forgiveness."
141,Wednesday,Townies,pitchfork,Can I still be pissed at the guy who shared my nudes if he's dead now?,<<Not usable: no_descriptive_content>>
142,Wednesday,Townies,stereogum,a visceral fragment of her life relayed matter-of-factly,a visceral fragment of her life relayed matter-of-factly
143,aya,off to the ESSO,guardian,[She] conjures the skull-clattering experience of being too drunk on public transport,conjures the skull-clattering experience of being too drunk on public transport at an indeterminate morning hour with new associates you've somehow made
144,aya,off to the ESSO,paste,"You can feel every buzz, screech, and smack in your bones, taking over your whole being like a persistent parasite.","You can feel every buzz, screech, and smack in your bones, taking over your whole being like a persistent parasite"
145,aya,off to the ESSO,pitchfork,"a terrifying, upsetting portrait of drug addiction","aya reaching towards you ... grabbing you by the throat, and forcibly pulling you into her nightmare"
146,aya,off to the ESSO,quietus,"nerve-jangling sound design, delirium tremens percussion skitter, serotonin-ravaged reportage ... actually combine to produce one of the most life-affirming bangers of recent years","nerve-jangling sound design, delirium tremens percussion skitter ... actually combine to produce one of the most life-affirming bangers of recent years"
147,aya,off to the ESSO,stereogum,nauseating dubstep-meets-gabber ... crafted from rust and oil,nauseating dubstep-meets-gabber ... Physically modeled timbres squelch and burst
148,james K,Play,fader,james k's gossamer banger,"""Play"" ... help[s] ... achieve something rare: actual and glorious dematerialization"
149,james K,Play,paste,a kiss-off drum 'n' bass achievement that could go ary at any moment,"combines her greatest shoegaze, trip-hop, and dream-pop ambitions into a marvelous brightness"
150,james K,Play,pitchfork,breakbeats chew up the chiffon of her synthesizer pads in their mechanical teeth,breakbeats chew up the chiffon of her synthesizer pads in their mechanical teeth
151,james K,Play,stereogum,an escapist anthem that revs its engines until we're at warp speed,"glittering dream-pop clarity, drum 'n' bass euphoria, and grungy anticipation fire like angry pistons"
