status,manual_ytm_id,artist,name
manual fix,GF26hSpP1Jg,"Blood Orange, Caroline Polachek, Lorde, & Mustafa","Mind Loaded (feat. Caroline Polachek, Lorde & Mustafa)"
manual fix,Brt_wrBrSqQ,"Blood Orange, Tariq Al-Sabir, Caroline Polachek, Daniel Caesar, & The Durutti Column","The Field (feat. The Durutti Column, Tariq Al-Sabir, Caroline Polachek & Daniel Caesar)"
manual fix,Jl8iCEA_Qgw,Carín León & Kacey Musgraves,Lost In Translation
bad,,Chuquimamani-Condori,Breathe Kullawada Caporal E DJ edit
manual fix,Dvp5mSVs3Cs,"clipping., Daveed Diggs, Jonathan Snipes, & William Hutson",Dodger
bad,,DECIUS,Nutrition Position (Type I)
manual fix,vfsg12xVUVo,Deftones,milk of the madonna
ok,,"Dom Dolla, Nathan Nicholson, & F1 The Album",No Room For A Saint (From F1® The Movie)
bad,,Freddie Gibbs,It's Your Anniversary
manual fix,KsygeZpLMs4,Full Blown & Yung Bredda,The Greatest Bend Over (Take It Easy)
manual fix,h5E6JY3mmoE,Hayley Williams,Mirtazapine
manual fix,ZRH5vhscJZY,Hayley Williams,True Believer
manual fix,edLmHlFgzH4,Jay Som & Hayley Williams,Past Lives - feat. Hayley Williams
manual fix,vuOxgGtdXUs,"Lauren Henderson, Sullivan Fortner, Joel Ross, Dezron Douglas, & Joe Dyson",Bold
manual fix,RTqx2p_c7a8,Lily Seabird,It was like you were coming to wake us back up
bad,,Los Thuthanaka,Awila
bad,,Mark Ernestus’ Ndagga Rhythm Force,Lamp Fall
manual fix,MQZ1H7rTbF4,"Moin, Sophia Al-Maria, & Ben Vince",See
manual fix,hv5JM2ndJcE,"Nadeem Din-Gabisi, DIVINEANGEL, Divine Earth, Angel Seka, & Tamar Osborn",Enter Claim
manual fix,mmasSaCcRs0,Open Mike Eagle,my co-worker clark kent's secret black box
bad,,Rat Heart & Adam Sinclaire,L . I . H . T Feat. Adam Sinclaire
manual fix,SesxWJaEhAA,Revival Season,8'3
manual fix,kWdBbX8VPko,"Safe Mind, LUCY (Cooper B. Handy), & Augustus Muller",Standing on Air
manual fix,sQ9s55kGwjo,Silvana Estrada,Dime
manual fix,shCZFUWFscA,Tame Impala,End Of Summer
bad,,Timothée Chalamet,Outlaw Blues/Three Angels (Live on ‘S.N.L.)
manual fix,7uocCB9Nq68,Greazy Alice,Just Another One
manual fix,cecEC5uF674,Laufey,Snow White
manual fix,rSL6el8u_V8,Oasis,"Slide Away (Live from Cardiff, 4 July '25)"
manual fix,UVWrHYJpfbE,BANKS & Doechii,I Hate Your Ex-Girlfriend (feat. Doechii)
manual fix,2_Fot_BWJDI,Saiming & styllunknown,2 lungs
bad,,Massa Nera,The Best Is Over
manual fix,mFHpIolH9G4,GHOSTWOMAN,Alive
manual fix,dl0vFuy7fNg,Wolf Alice,The Sofa
manual fix,8237LGtypoA,The Vices,How Does It Feel